event,macro_geo,actor_type,alignment_content,n
ukraine,ASIA,PLATFORM,community,2
ukraine,EU,PLATFORM,other,2
ukraine,LATAM,PLATFORM,other,2
ukraine,PLATFORM,NATIONAL,state,2
ukraine,PLATFORM,STATE,int,2
venezuela,ASIA,NATIONAL,community,2
venezuela,PLATFORM,FIN,int,2
venezuela,PLATFORM,FIN,other,2
venezuela,US,NATIONAL,mil,2
gaza,AFRICA,NATIONAL,int,1
gaza,ASIA,NATIONAL,community,1
gaza,ASIA,PLATFORM,community,1
gaza,EU,NATIONAL,other,1
gaza,EU,PLATFORM,mil,1
gaza,LATAM,PLATFORM,int,1
gaza,MENA,PLATFORM,int,1
gaza,MENA,STATE,community,1
gaza,MENA,STATE,mil,1
gaza,PLATFORM,GOV,other,1
gaza,PLATFORM,STATE,int,1
ukraine,AFRICA,NATIONAL,int,1
ukraine,ASIA,NATIONAL,mil,1
ukraine,ASIA,PLATFORM,mil,1
ukraine,MENA,PLATFORM,other,1
ukraine,PLATFORM,FIN,int,1
ukraine,PLATFORM,STATE,mil,1
ukraine,US,NATIONAL,community,1
venezuela,AFRICA,NATIONAL,community,1
venezuela,AFRICA,NATIONAL,int,1
venezuela,AFRICA,PLATFORM,community,1
venezuela,ASIA,PLATFORM,community,1
venezuela,EU,PLATFORM,mil,1
venezuela,LATAM,PLATFORM,int,1
venezuela,MENA,PLATFORM,int,1
venezuela,MENA,STATE,community,1
venezuela,MENA,STATE,mil,1
venezuela,PLATFORM,GOV,other,1
venezuela,PLATFORM,STATE,int,1
